,delta,dominant_frequency,sum_top_amplitudes,energy_ratio,top_freq_1,top_amp_1,top_phase_1,top_freq_2,top_amp_2,top_phase_2,top_freq_3,top_amp_3,top_phase_3,top_freq_4,top_amp_4,top_phase_4,top_freq_5,top_amp_5,top_phase_5,top_freq_6,top_amp_6,top_phase_6,top_freq_7,top_amp_7,top_phase_7,top_freq_8,top_amp_8,top_phase_8,predicted_next_value
321,0.9515603762434748,0.0,10.279071397763325,0.9999990975432289,0.0,9.868559490844373,-0.0,-0.1,0.17428743246700373,2.9326895184416517,0.1,0.17428743246700373,-2.9326895184416517,-0.2,0.01499033344342364,-0.3626620677443713,0.2,0.01499033344342364,0.3626620677443713,-0.30000000000000004,0.012227596187720596,0.8629556590537037,0.30000000000000004,0.012227596187720596,-0.8629556590537037,-0.5,0.007501182722655209,-0.0,0.9578995414928242
322,0.954053696747026,0.0,10.273002487167023,0.9999990305065644,0.0,9.862829208647666,-0.0,-0.1,0.1798970577124202,2.310976958560988,0.1,0.1798970577124202,-2.310976958560988,-0.4,0.010568779854349524,0.03707282217043105,0.4,0.010568779854349524,-0.03707282217043105,-0.2,0.009844948133817952,-1.8272871553310763,0.2,0.009844948133817952,1.8272871553310763,-0.30000000000000004,0.009551707118181478,-0.5487273874048612,0.964445375844887
323,0.9598024721757116,0.0,10.2842204567954,0.9999999923301255,0.0,9.851799678448517,-0.0,-0.1,0.18751252872242585,1.7261018179828247,0.1,0.18751252872242585,-1.7261018179828247,-0.2,0.016542883239376437,2.498352319691159,0.2,0.016542883239376437,-2.498352319691159,-0.5,0.012800430725098622,-0.0,-0.30000000000000004,0.005754761849089712,2.303285195180255,0.30000000000000004,0.005754761849089712,-2.303285195180255,0.9772420049749525
324,0.9666405192324373,0.0,10.341608075240023,0.9999967966092876,0.0,9.834238369654402,-0.0,-0.1,0.1910185133110772,1.1887372526987945,0.1,0.1910185133110772,-1.1887372526987945,-0.2,0.0323570848008443,1.5732848311255752,0.2,0.0323570848008443,-1.5732848311255752,-0.30000000000000004,0.021833014478070442,1.059384894085296,0.30000000000000004,0.021833014478070442,-1.059384894085296,-0.4,0.01695248040563708,0.6307855011145054,1.0011573658126731
325,0.9793677178713258,0.0,10.35215838568546,0.9999872185907093,0.0,9.797876413156075,-0.0,-0.1,0.1806406044177167,0.7483031053164518,0.1,0.1806406044177167,-0.7483031053164518,-0.2,0.048734265100161316,1.1588703995141065,0.2,0.048734265100161316,-1.1588703995141065,-0.30000000000000004,0.03196557753215921,0.6185902968913924,0.30000000000000004,0.03196557753215921,-0.6185902968913924,-0.5,0.03160107842931037,-0.0,1.0185348888569108
326,0.9852867666141171,0.0,10.230601410955952,0.9999939787769471,0.0,9.753865516869876,-0.0,-0.1,0.15137877201028294,0.31911196027487215,0.1,0.15137877201028294,-0.31911196027487215,-0.2,0.05093631765131041,0.8159217928035633,0.2,0.05093631765131041,-0.8159217928035633,-0.30000000000000004,0.025816108670112796,0.45568652278721605,0.30000000000000004,0.025816108670112796,-0.45568652278721605,-0.4,0.020473497422662326,0.36963026106397623,1.0176595373435406
327,0.9925333802929629,0.0,10.088057826304722,0.9999940436081849,0.0,9.71834269059708,-0.0,-0.1,0.11817598305187069,-0.2147632780329499,0.1,0.11817598305187069,0.2147632780329499,-0.2,0.0371050535573637,0.3309070786423692,0.2,0.0371050535573637,-0.3309070786423692,-0.5,0.0231130084159048,-0.0,-0.4,0.018020027036634398,0.20536164071062243,0.4,0.018020027036634398,-0.20536164071062243,1.007784473819461
328,0.9988769157316782,0.0,9.965563159085502,0.9999997070009413,0.0,9.700167866053915,-0.0,-0.1,0.10049336471615543,-0.8816346856463368,0.1,0.10049336471615543,0.8816346856463368,-0.2,0.020773209525429097,-0.6374941444707114,0.2,0.020773209525429097,0.6374941444707114,-0.30000000000000004,0.008961980337838191,0.09387550990232002,0.30000000000000004,0.008961980337838191,-0.09387550990232002,-0.5,0.004938183872740254,-3.141592653589793,0.9874266525076206
329,0.9928872045514381,0.0,10.040709441556366,0.999997605460433,0.0,9.711099832885035,-0.0,-0.1,0.10777564676638202,-1.4315894271824663,0.1,0.10777564676638202,1.4315894271824663,-0.2,0.03026568664428821,-1.6774595026505212,0.2,0.03026568664428821,1.6774595026505212,-0.30000000000000004,0.019872251458809078,-1.8426692038307178,0.30000000000000004,0.019872251458809078,1.8426692038307178,-0.4,0.013782438932372179,-2.707441385145477,0.9711388372718593
330,0.9708878446115289,0.0,10.104865124401774,0.999996694028426,0.0,9.73469795905662,-0.0,-0.1,0.11348245495955314,-1.852490334730581,0.1,0.11348245495955314,1.852490334730581,-0.2,0.03634297078944185,-2.232252084577892,0.2,0.03634297078944185,2.232252084577892,-0.30000000000000004,0.026455985316978865,-2.693892990202987,0.30000000000000004,0.026455985316978865,2.693892990202987,-0.5,0.01760434321320581,-3.141592653589793,0.9561655397703042
331,0.9741827105089184,0.0,10.061699918671811,0.9999997192337371,0.0,9.7518968940717,-0.0,-0.1,0.10994975203913634,-2.3299775668857854,0.1,0.10994975203913634,2.3299775668857854,-0.2,0.029132591676909177,-3.0042847926972027,0.2,0.029132591676909177,3.0042847926972027,-0.30000000000000004,0.013243137149597684,2.301381051914323,0.30000000000000004,0.013243137149597684,-2.301381051914323,-0.4,0.005152062868823971,-2.876573896760321,0.9520170546164561
332,0.9893263705270581,0.0,10.058439416067095,0.9999988533185258,0.0,9.774519228337144,-0.0,-0.1,0.09579423351928718,-2.7861398155149413,0.1,0.09579423351928718,2.7861398155149413,-0.5,0.023027742463568757,-3.141592653589793,0.4,0.017701654831408016,2.5895820622265564,-0.4,0.017701654831408016,-2.5895820622265564,0.30000000000000004,0.016950334282495955,1.2639011599296461,-0.30000000000000004,0.016950334282495955,-1.2639011599296461,0.9551975887645485
333,1.0034056557239988,0.0,10.106715124072743,0.999993307250501,0.0,9.809791902117176,-0.0,-0.1,0.06391633935907906,3.0619820969587774,0.1,0.06391633935907906,-3.0619820969587774,-0.30000000000000004,0.043505367776756405,-2.265483288910272,0.30000000000000004,0.043505367776756405,2.265483288910272,-0.2,0.02992439591832063,-1.09896823764094,0.2,0.02992439591832063,1.09896823764094,-0.4,0.022231015847255266,-2.944030953644296,0.9632068232965812
334,1.0135726687819497,0.0,10.12934557508946,0.9999911376869434,0.0,9.853395085665463,-0.0,-0.2,0.06310950391371575,-1.692682560876237,0.2,0.06310950391371575,1.692682560876237,-0.30000000000000004,0.03694969221363983,-3.0152999244001544,0.30000000000000004,0.03694969221363983,3.0152999244001544,-0.5,0.03135825223182387,-3.141592653589793,0.4,0.022236922468730786,2.710782652752141,-0.4,0.022236922468730786,-2.710782652752141,0.969296954152553
335,1.0192863520828956,0.0,10.194806822921159,0.99999740347148,0.0,9.900327235214975,-0.0,-0.2,0.07392700122719616,-2.267593049722744,0.2,0.07392700122719616,2.267593049722744,-0.1,0.03723147736050576,-0.18609993725265608,0.1,0.03723147736050576,0.18609993725265608,-0.4,0.028294366606545718,-2.8476745733886326,0.4,0.028294366606545718,2.8476745733886326,-0.5,0.015573897317688434,-3.141592653589793,0.9808881142284459
336,1.0237935483870968,0.0,10.299356800607807,0.9999953051582431,0.0,9.940245869426546,-0.0,-0.1,0.07681676398087019,-0.7181181718940649,0.1,0.07681676398087019,0.7181181718940649,-0.2,0.05719197619717032,-2.959391860286217,0.2,0.05719197619717032,2.959391860286217,-0.30000000000000004,0.03337435696564846,-2.137387603760018,0.30000000000000004,0.03337435696564846,2.137387603760018,-0.5,0.024344736893882057,-3.141592653589793,0.9883275560417897
