,raw predicted,after vertical,after swing,after horizontal,after correction LSTM,date,actual
158,146.83566,151.4734369,146.8706516,148.2664387,148.0893025,10/13/2020,149
159,148.4537,144.0045023,148.4892337,147.3036518,145.7159185,10/14/2020,146.078335
160,149.30191,138.980007,149.3377976,143.4609658,143.0920474,10/15/2020,143.91667
161,148.63376,135.7770712,148.6696399,142.1470221,141.3706544,10/16/2020,141.93
162,146.34177,135.9093027,146.3775513,141.0662304,141.0299929,10/19/2020,140.9
163,143.07227,139.1401084,143.1074,141.2109262,141.2498085,10/20/2020,140.96333
164,139.7622,140.9171072,139.796674,140.4288145,141.1528768,10/21/2020,140.21
165,137.07562,141.9286154,137.1095697,139.1042224,139.5432026,10/22/2020,139.35333
166,135.63577,139.0569737,135.6695044,137.4177623,137.5656507,10/23/2020,137.21
167,135.60907,136.3676208,135.6432183,136.0888791,136.0472726,10/26/2020,135.86333
168,136.62698,134.9468141,136.6615307,136.0218074,135.5927872,10/27/2020,135.66
169,138.00928,135.4067095,138.0443175,136.8091098,136.7696888,10/28/2020,136.57666
170,139.39182,138.8783931,139.4273515,138.8743321,139.1775622,10/29/2020,139.0075
171,140.60048,142.5185258,140.6364699,141.4822453,141.5592083,10/30/2020,141.42667
172,142.03896,143.7611767,142.0757582,142.7818849,143.6195769,11/2/2020,142.76666
173,144.00215,141.8012662,144.0396125,142.4824196,142.8459631,11/3/2020,142.76666
174,146.30493,136.7809792,146.343144,142.1187816,141.5223784,11/4/2020,141.33333
175,148.6522,132.1497387,148.6911866,139.8259051,140.1943086,11/5/2020,140.03
176,150.38531,127.5112162,150.4249061,138.4113859,138.597583,11/6/2020,138.35
177,151.07954,124.8497667,151.1197898,137.2412743,137.2808739,11/9/2020,137.2141675
178,151.08827,125.3814536,151.1286774,137.4822567,136.8571866,11/10/2020,137.51
179,151.00653,126.8536006,151.0470714,139.6409878,139.8102214,11/11/2020,138.2775
180,151.22398,144.7836548,151.2647401,146.6905026,146.8169811,11/12/2020,147.83333
181,152.13399,160.6841325,152.1751474,157.1007547,156.34591,11/13/2020,156.2074975
182,153.91321,175.0682122,153.95533,165.0026217,163.474927,11/16/2020,164
183,156.92418,176.821102,156.9672884,168.6822451,166.7971482,11/17/2020,166.42334
184,161.81966,181.2336564,161.864279,170.1659659,171.96974,11/18/2020,171.095
185,168.44966,196.5465061,168.4962875,181.6696956,181.0454988,11/19/2020,181.79
